n,tier,channel,title,status,quote,file
2,A,MIT Corporate Relations,Integrating Generative AI Into Business Strategy: Dr. George Westerman,ok,저는 AI를 디지털 전환의 다음 단계라고 생각합니다.,transcripts/2026-07-31/Integrating_Generative_AI_Into_Business_Strategy_Dr._George___9RvWcXVaAng.md
2,A,MIT Corporate Relations,Integrating Generative AI Into Business Strategy: Dr. George Westerman,ok,"웨스터만의 법칙은 기술이 빠르게 변화하는 반면, 조직은 훨씬 느리게 변화한다는 겁니다.",transcripts/2026-07-31/Integrating_Generative_AI_Into_Business_Strategy_Dr._George___9RvWcXVaAng.md
3,A,Microsoft Azure,"Microsoft Digital Sovereignty Summit | Sovereign Cloud, AI & Security Highlights",ok,"왜냐하면 마레이케가 말했듯이, 없습니다. 모든 사람에게 맞는 단일 사이즈.","transcripts/channels/Microsoft_Azure/Microsoft_Digital_Sovereignty_Summit_Sovereign_Cloud,_AI_&_S__YLL7UuVCerM.md"
3,A,Microsoft Azure,"Microsoft Digital Sovereignty Summit | Sovereign Cloud, AI & Security Highlights",ok,"아주 간단히 말해서, 우리는 빠르게 혁신하고 싶습니다. 하지만 통제권을 포기하면서까지 그럴 수는 없다.","transcripts/channels/Microsoft_Azure/Microsoft_Digital_Sovereignty_Summit_Sovereign_Cloud,_AI_&_S__YLL7UuVCerM.md"
3,A,Microsoft Azure,"Microsoft Digital Sovereignty Summit | Sovereign Cloud, AI & Security Highlights",ok,이런 명령이라면 우리는 사실상 저항할 것이다. 소송을 포함한 모든 경로를 통한 명령 필요한 경우.,"transcripts/channels/Microsoft_Azure/Microsoft_Digital_Sovereignty_Summit_Sovereign_Cloud,_AI_&_S__YLL7UuVCerM.md"
3,A,Microsoft Azure,"Microsoft Digital Sovereignty Summit | Sovereign Cloud, AI & Security Highlights",ok,"상업적인 측면에서 보면, 우리는 0.0008%를 보고 있습니다.","transcripts/channels/Microsoft_Azure/Microsoft_Digital_Sovereignty_Summit_Sovereign_Cloud,_AI_&_S__YLL7UuVCerM.md"
3,A,Microsoft Azure,"Microsoft Digital Sovereignty Summit | Sovereign Cloud, AI & Security Highlights",ok,"예를 들어, 우리가 부조종사 기능을 출시하는 경우 회사 내 모든 분들께 대략 6,000명 정도입니다.","transcripts/channels/Microsoft_Azure/Microsoft_Digital_Sovereignty_Summit_Sovereign_Cloud,_AI_&_S__YLL7UuVCerM.md"
4,A,ServiceNow,The Blueprint for Agentic Business | ServiceNow Knowledge 2026 Day 2 Keynote,ok,"19%에 불과합니다. 하지만 실제로 성과를 내고 있는 기업들 , 즉 에이전트형 AI를 통해 2.5배 더 나은 결과를 얻고 있는 기업들은 거버넌스가 내장된 통합 플랫폼에서 운영되고 있습니다.",transcripts/channels/ServiceNow/The_Blueprint_for_Agentic_Business_ServiceNow_Knowledge_2026__q8kaVEkTWho.md
4,A,ServiceNow,The Blueprint for Agentic Business | ServiceNow Knowledge 2026 Day 2 Keynote,ok,ServiceNow에서는 IT 지원 요청의 90%가 자율적으로 처리됩니다,transcripts/channels/ServiceNow/The_Blueprint_for_Agentic_Business_ServiceNow_Knowledge_2026__q8kaVEkTWho.md
4,A,ServiceNow,The Blueprint for Agentic Business | ServiceNow Knowledge 2026 Day 2 Keynote,ok,"이것은 제품 선택의 문제가 아니라 운영 모델, 즉 사람들이 일하는 방식의 변화였습니다.",transcripts/channels/ServiceNow/The_Blueprint_for_Agentic_Business_ServiceNow_Knowledge_2026__q8kaVEkTWho.md
4,A,ServiceNow,The Blueprint for Agentic Business | ServiceNow Knowledge 2026 Day 2 Keynote,ok,저희는 서비스 센터 운영으로 걸려오는 전화 25만 5천 통을 줄이는 것에 대해 이야기하고 있습니다.,transcripts/channels/ServiceNow/The_Blueprint_for_Agentic_Business_ServiceNow_Knowledge_2026__q8kaVEkTWho.md
4,A,ServiceNow,The Blueprint for Agentic Business | ServiceNow Knowledge 2026 Day 2 Keynote,ok,"음, 신뢰야말로 CVS Health가 진정으로 가진 유일한 자본입니다.",transcripts/channels/ServiceNow/The_Blueprint_for_Agentic_Business_ServiceNow_Knowledge_2026__q8kaVEkTWho.md
5,A,메타코드M,"In the era of AI transformation (AX), we'll teach you everything about AX in just 30 minutes - [A...",ok,그래서 AI는 DT의 일환이었지만 현재는 고화도 되고 진능화되는 영역을 특화적으로 조금 더 특성적으로 어 말을 해 주고 있고요.,"transcripts/2026-07-18/In_the_era_of_AI_transformation_(AX),_we'll_teach_you_everyt__ErviFf8I6K4.md"
5,A,메타코드M,"In the era of AI transformation (AX), we'll teach you everything about AX in just 30 minutes - [A...",ok,AX는 DX의 단순한 확장이 아니라 비즈니스 패러다임의 근본전인 전환을 의미하고 있습니다.,"transcripts/2026-07-18/In_the_era_of_AI_transformation_(AX),_we'll_teach_you_everyt__ErviFf8I6K4.md"
5,A,메타코드M,"In the era of AI transformation (AX), we'll teach you everything about AX in just 30 minutes - [A...",ok,하지만 대부분 반 이상은 2번에서 3번에 머무고 있습니다.,"transcripts/2026-07-18/In_the_era_of_AI_transformation_(AX),_we'll_teach_you_everyt__ErviFf8I6K4.md"
5,A,메타코드M,"In the era of AI transformation (AX), we'll teach you everything about AX in just 30 minutes - [A...",partial,그래서 이 5대 요소는 독립적으로 보는게 아니라 순차적으로 하는 것도 아니고요. 병렬적이고 통합적으로 설계가 돼야 됩니다.,"transcripts/2026-07-18/In_the_era_of_AI_transformation_(AX),_we'll_teach_you_everyt__ErviFf8I6K4.md"
5,A,메타코드M,"In the era of AI transformation (AX), we'll teach you everything about AX in just 30 minutes - [A...",ok,어 뭐 제조 기업에서는 특히 공장에서 사람 대체나 노동역의 대체처럼만 보이기 때문에 굉장한 저항도 있고요.,"transcripts/2026-07-18/In_the_era_of_AI_transformation_(AX),_we'll_teach_you_everyt__ErviFf8I6K4.md"
6,A,"AI Adoption Services, Webinars, and Keynotes",The 7 Ways AI Adoption Fails in Enterprises — And How to Avoid Each One,ok,"그들의 대답은 ""법무팀에서 AI를 절대 사용하지 말라고 했습니다.""였습니다.",transcripts/2026-08-03/The_7_Ways_AI_Adoption_Fails_in_Enterprises_—_And_How_to_Avo__J8CR3dY5lbo.md
6,A,"AI Adoption Services, Webinars, and Keynotes",The 7 Ways AI Adoption Fails in Enterprises — And How to Avoid Each One,ok,법무팀이 향후 10년간의 전략을 사실상 좌우하고 있었다.,transcripts/2026-08-03/The_7_Ways_AI_Adoption_Fails_in_Enterprises_—_And_How_to_Avo__J8CR3dY5lbo.md
6,A,"AI Adoption Services, Webinars, and Keynotes",The 7 Ways AI Adoption Fails in Enterprises — And How to Avoid Each One,ok,"그들은 학습을 얻고, 당신은 청구서를 받습니다.",transcripts/2026-08-03/The_7_Ways_AI_Adoption_Fails_in_Enterprises_—_And_How_to_Avo__J8CR3dY5lbo.md
6,A,"AI Adoption Services, Webinars, and Keynotes",The 7 Ways AI Adoption Fails in Enterprises — And How to Avoid Each One,ok,감시는 인공지능 도입이 아닙니다.,transcripts/2026-08-03/The_7_Ways_AI_Adoption_Fails_in_Enterprises_—_And_How_to_Avo__J8CR3dY5lbo.md
6,A,"AI Adoption Services, Webinars, and Keynotes",The 7 Ways AI Adoption Fails in Enterprises — And How to Avoid Each One,ok,의도는 있지만 실행이 부실하다는 것이죠.,transcripts/2026-08-03/The_7_Ways_AI_Adoption_Fails_in_Enterprises_—_And_How_to_Avo__J8CR3dY5lbo.md
6,A,"AI Adoption Services, Webinars, and Keynotes",The 7 Ways AI Adoption Fails in Enterprises — And How to Avoid Each One,ok,"모두가 동일한 면허증을 가지고 있다면 , 면허증은 이점이 됩니다.",transcripts/2026-08-03/The_7_Ways_AI_Adoption_Fails_in_Enterprises_—_And_How_to_Avo__J8CR3dY5lbo.md
7,A,AI:ROI Conversations with Section,Closing the Enterprise AI ROI Gap,ok,There is ROI. Your employee is keeping the gain and the employer is not getting it yet.,transcripts/2026-08-03/Closing_the_Enterprise_AI_ROI_Gap__20lqu-d4cxc.md
7,A,AI:ROI Conversations with Section,Closing the Enterprise AI ROI Gap,ok,do not deploy AI like it's new productivity software that will fail,transcripts/2026-08-03/Closing_the_Enterprise_AI_ROI_Gap__20lqu-d4cxc.md
7,A,AI:ROI Conversations with Section,Closing the Enterprise AI ROI Gap,ok,the novelty fades and AI adoption starts to run into organizational antibodies that fight change,transcripts/2026-08-03/Closing_the_Enterprise_AI_ROI_Gap__20lqu-d4cxc.md
7,A,AI:ROI Conversations with Section,Closing the Enterprise AI ROI Gap,ok,the head of AI there talks about having about one agent or automation per employee at Maderna,transcripts/2026-08-03/Closing_the_Enterprise_AI_ROI_Gap__20lqu-d4cxc.md
7,A,AI:ROI Conversations with Section,Closing the Enterprise AI ROI Gap,ok,about 89% adoption uh in terms of uh their employee base uh took 12 months from sub 10%,transcripts/2026-08-03/Closing_the_Enterprise_AI_ROI_Gap__20lqu-d4cxc.md
7,A,AI:ROI Conversations with Section,Closing the Enterprise AI ROI Gap,ok,You must hold managers accountable. This is where change goes to die in the middle layer of the organization.,transcripts/2026-08-03/Closing_the_Enterprise_AI_ROI_Gap__20lqu-d4cxc.md
8,A,AWS Events,NYC Executive Forum 2026 - Leading Transformation When Technology Won’t Wait,ok,"현재까지 13만 3천 명의 직원에게 도입되었는데, 이는 매우 인상적인 성과입니다.",transcripts/channels/AWS_Events/NYC_Executive_Forum_2026_-_Leading_Transformation_When_Techn__-7VeuZfH0DM.md
8,A,AWS Events,NYC Executive Forum 2026 - Leading Transformation When Technology Won’t Wait,ok,저희는 시민들에게 영향을 미치는 결정을 내릴 때 인공지능 도구를 사용하지 않습니다,transcripts/channels/AWS_Events/NYC_Executive_Forum_2026_-_Leading_Transformation_When_Techn__-7VeuZfH0DM.md
8,A,AWS Events,NYC Executive Forum 2026 - Leading Transformation When Technology Won’t Wait,ok,그중 75% 정도는 의도적으로 실패할 겁니다,transcripts/channels/AWS_Events/NYC_Executive_Forum_2026_-_Leading_Transformation_When_Techn__-7VeuZfH0DM.md
8,A,AWS Events,NYC Executive Forum 2026 - Leading Transformation When Technology Won’t Wait,ok,"한 가지 확실히 말씀드릴 수 있는 건, 85%의 일에는 인공지능이 필요하지 않고 인간의 지능이 필요하다는 것입니다.",transcripts/channels/AWS_Events/NYC_Executive_Forum_2026_-_Leading_Transformation_When_Techn__-7VeuZfH0DM.md
8,A,AWS Events,NYC Executive Forum 2026 - Leading Transformation When Technology Won’t Wait,ok,그래서 시간이 15분에서 1초로 단축되었습니다.,transcripts/channels/AWS_Events/NYC_Executive_Forum_2026_-_Leading_Transformation_When_Techn__-7VeuZfH0DM.md
9,A,BOI (Board of Innovation),"Webinar: AI transformation that works, lessons from the trenches",ok,한 달 전에 MIT에서 기업의 95%가 AI 프로그램에서 아무런 가치도 얻지 못하고 있다는 보고서를 발표했다는 것입니다,"transcripts/2026-07-18/Webinar_AI_transformation_that_works,_lessons_from_the_trenc__PL3OWn143AI.md"
9,A,BOI (Board of Innovation),"Webinar: AI transformation that works, lessons from the trenches",ok,진정한 리더는 비즈니스와 기술을 공동 책임으로 융합하는 구조로 소유권을 옮깁니다,"transcripts/2026-07-18/Webinar_AI_transformation_that_works,_lessons_from_the_trenc__PL3OWn143AI.md"
9,A,BOI (Board of Innovation),"Webinar: AI transformation that works, lessons from the trenches",ok,실제로 지난 2년 동안 CAIIO의 수가 3배로 늘었습니다,"transcripts/2026-07-18/Webinar_AI_transformation_that_works,_lessons_from_the_trenc__PL3OWn143AI.md"
9,A,BOI (Board of Innovation),"Webinar: AI transformation that works, lessons from the trenches",ok,"이 항목들의 80%는 조직 및 운영 모델 기반의 할 일이고, 기술적인 부분은 각 열에서 하나씩만 포함되어 있습니다.","transcripts/2026-07-18/Webinar_AI_transformation_that_works,_lessons_from_the_trenc__PL3OWn143AI.md"
9,A,BOI (Board of Innovation),"Webinar: AI transformation that works, lessons from the trenches",ok,변화를 가로막는 가장 큰 장애물은 단연코 변화를 원하지 않거나 막으려는 사람들입니다.,"transcripts/2026-07-18/Webinar_AI_transformation_that_works,_lessons_from_the_trenc__PL3OWn143AI.md"
10,A,CXOTalk,"Enterprise AI Strategy and CEO Leadership, with McKinsey & Company | CXOTalk #851",ok,"not just doing individual use cases or pilots,","transcripts/2026-08-03/Enterprise_AI_Strategy_and_CEO_Leadership,_with_McKinsey_&_C__uTRKdCY4HdE.md"
10,A,CXOTalk,"Enterprise AI Strategy and CEO Leadership, with McKinsey & Company | CXOTalk #851",ok,to operate like a six-year employee through,"transcripts/2026-08-03/Enterprise_AI_Strategy_and_CEO_Leadership,_with_McKinsey_&_C__uTRKdCY4HdE.md"
10,A,CXOTalk,"Enterprise AI Strategy and CEO Leadership, with McKinsey & Company | CXOTalk #851",ok,heads of technology as potential CEO candidates.,"transcripts/2026-08-03/Enterprise_AI_Strategy_and_CEO_Leadership,_with_McKinsey_&_C__uTRKdCY4HdE.md"
10,A,CXOTalk,"Enterprise AI Strategy and CEO Leadership, with McKinsey & Company | CXOTalk #851",ok,"they get locked down by their legal department,","transcripts/2026-08-03/Enterprise_AI_Strategy_and_CEO_Leadership,_with_McKinsey_&_C__uTRKdCY4HdE.md"
10,A,CXOTalk,"Enterprise AI Strategy and CEO Leadership, with McKinsey & Company | CXOTalk #851",ok,hard-to-reverse choices made under uncertainty,"transcripts/2026-08-03/Enterprise_AI_Strategy_and_CEO_Leadership,_with_McKinsey_&_C__uTRKdCY4HdE.md"
11,A,Citizen Developer and Nathan Rose,AI Transformation Leader (AB-731) - Full Course - Pass The Exam!,ok,"요약하자면, 730 시험을 준비했다면 731 시험도 80% 정도는 준비된 셈입니다.",transcripts/2026-07-21/AI_Transformation_Leader_(AB-731)_-_Full_Course_-_Pass_The_E__Ox0m3iJG57M.md
11,A,Citizen Developer and Nathan Rose,AI Transformation Leader (AB-731) - Full Course - Pass The Exam!,ok,그러니까 데이터 사일로를 허물고 데이터 품질을 개선하는 거죠.,transcripts/2026-07-21/AI_Transformation_Leader_(AB-731)_-_Full_Course_-_Pass_The_E__Ox0m3iJG57M.md
11,A,Citizen Developer and Nathan Rose,AI Transformation Leader (AB-731) - Full Course - Pass The Exam!,ok,상담원을 직원과 같은 방식으로 생각하십시오,transcripts/2026-07-21/AI_Transformation_Leader_(AB-731)_-_Full_Course_-_Pass_The_E__Ox0m3iJG57M.md
11,A,Citizen Developer and Nathan Rose,AI Transformation Leader (AB-731) - Full Course - Pass The Exam!,ok,특히 비용을 고려할 때 가장 강력한 옵션을 기본적으로 선택하지 않는 것이 목표입니다,transcripts/2026-07-21/AI_Transformation_Leader_(AB-731)_-_Full_Course_-_Pass_The_E__Ox0m3iJG57M.md
11,A,Citizen Developer and Nathan Rose,AI Transformation Leader (AB-731) - Full Course - Pass The Exam!,ok,이것이 바로 마이크로소프트가 돈을 버는 방식입니다.,transcripts/2026-07-21/AI_Transformation_Leader_(AB-731)_-_Full_Course_-_Pass_The_E__Ox0m3iJG57M.md
12,A,DATAVERSITY,Analythics Architecture:  Promising AI Use Cases for the Enterprise in 2026,ok,지난 1년 동안 회의적인 시각이 지배적이 되었습니다,transcripts/2026-08-03/Analythics_Architecture_Promising_AI_Use_Cases_for_the_Enter__JhbsIutTwXM.md
12,A,DATAVERSITY,Analythics Architecture:  Promising AI Use Cases for the Enterprise in 2026,ok,"이 예측 시스템은 10억 달러 이상의 사기 손실을 성공적으로 방지했으며, 연간 2억 5천만 달러 이상의 직접적인 비용 절감을 창출합니다.",transcripts/2026-08-03/Analythics_Architecture_Promising_AI_Use_Cases_for_the_Enter__JhbsIutTwXM.md
12,A,DATAVERSITY,Analythics Architecture:  Promising AI Use Cases for the Enterprise in 2026,ok,이 프로젝트는 신입 직원 교육 시간을 75% 단축시켜 신규 또는 전환 직원 교육과 관련된 인건비를 대폭 절감했습니다.,transcripts/2026-08-03/Analythics_Architecture_Promising_AI_Use_Cases_for_the_Enter__JhbsIutTwXM.md
12,A,DATAVERSITY,Analythics Architecture:  Promising AI Use Cases for the Enterprise in 2026,ok,AI에 대한 내부적인 저항은 거의 없습니다,transcripts/2026-08-03/Analythics_Architecture_Promising_AI_Use_Cases_for_the_Enter__JhbsIutTwXM.md
12,A,DATAVERSITY,Analythics Architecture:  Promising AI Use Cases for the Enterprise in 2026,ok,저희는 숫자를 분석하여 고객 여러분이 시장에 내놓고 싶어하는 사례 연구에 적절한 ROI를 산출해 드립니다,transcripts/2026-08-03/Analythics_Architecture_Promising_AI_Use_Cases_for_the_Enter__JhbsIutTwXM.md
13,A,Databricks,Data + AI Summit Keynote 2026 | Day 1,ok,"그리고 등록한 사람은 97,000명밖에 되지 않았습니다.",transcripts/channels/Databricks/Data_+_AI_Summit_Keynote_2026_Day_1__Qux8E-L1mk8.md
13,A,Databricks,Data + AI Summit Keynote 2026 | Day 1,ok,그래서 AGI는 이미 여기 있어요.,transcripts/channels/Databricks/Data_+_AI_Summit_Keynote_2026_Day_1__Qux8E-L1mk8.md
13,A,Databricks,Data + AI Summit Keynote 2026 | Day 1,ok,그만큼 우리가 가진 문제는 AGI가 아니라는 점입니다.,transcripts/channels/Databricks/Data_+_AI_Summit_Keynote_2026_Day_1__Qux8E-L1mk8.md
13,A,Databricks,Data + AI Summit Keynote 2026 | Day 1,ok,그래서 첫 번째 문제는 실제로 비용이 통제 불능 상태로 치솟고 있습니다.,transcripts/channels/Databricks/Data_+_AI_Summit_Keynote_2026_Day_1__Qux8E-L1mk8.md
13,A,Databricks,Data + AI Summit Keynote 2026 | Day 1,ok,"그래서 이 모든 토큰은 최대치가 달성되고 있고, 막을 방법이 없습니다.",transcripts/channels/Databricks/Data_+_AI_Summit_Keynote_2026_Day_1__Qux8E-L1mk8.md
14,A,Databricks,Developing and Deploying Databricks ai_parse_document for Intelligent Document Processing,ok,저는 Planes Midstream에서 일합니다,transcripts/channels/Databricks/Developing_and_Deploying_Databricks_ai_parse_document_for_In__kH7p1lr4Be4.md
14,A,Databricks,Developing and Deploying Databricks ai_parse_document for Intelligent Document Processing,ok,"저희 데이터베이스에는 수억 개의 행이 있는데, AI 파싱을 통해 좋은 결과를 많이 얻었고, 이를 통해 경영진에게 생성형 AI의 가치 제안을 보여주고 투자 대비 수익을 제시할 수 있었습니다.",transcripts/channels/Databricks/Developing_and_Deploying_Databricks_ai_parse_document_for_In__kH7p1lr4Be4.md
14,A,Databricks,Developing and Deploying Databricks ai_parse_document for Intelligent Document Processing,ok,다행히 저희 두 리더 모두 마이크로소프트 출신이라 기술적인 관점에서 매우 앞서가는 생각을 가지고 계십니다.,transcripts/channels/Databricks/Developing_and_Deploying_Databricks_ai_parse_document_for_In__kH7p1lr4Be4.md
14,A,Databricks,Developing and Deploying Databricks ai_parse_document for Intelligent Document Processing,ok,"예를 들어, 저희는 다른 소스 제공업체와 같은 주요 시스템보다 뛰어난 일치율을 달성하면서도 비용은 3~5 배 낮춥니다.",transcripts/channels/Databricks/Developing_and_Deploying_Databricks_ai_parse_document_for_In__kH7p1lr4Be4.md
15,A,ERP Suites | JD Edwards Insights,Enterprise AI: From Big Uncertainty to Massive ROI,ok,응답자의 71%가 이미 어떤 형태로든 AI를 사용하고 있다고 답했습니다.,transcripts/2026-08-03/Enterprise_AI_From_Big_Uncertainty_to_Massive_ROI__FmcULDfEgvM.md
15,A,ERP Suites | JD Edwards Insights,Enterprise AI: From Big Uncertainty to Massive ROI,ok,저는 AI를 '오케 스트레이터'라고 부르는 것보다 '인턴'이라고 부르는 게 더 좋아요.,transcripts/2026-08-03/Enterprise_AI_From_Big_Uncertainty_to_Massive_ROI__FmcULDfEgvM.md
15,A,ERP Suites | JD Edwards Insights,Enterprise AI: From Big Uncertainty to Massive ROI,ok,"다른 모든 IT 프로젝트와 마찬가지로, ERP 구현이든, JD Edwards 애플리케이션 업그레이드든, 복잡한 기타 보조 시스템 도입이든, 성공적인 프로젝트를 위해서는 프로세스와 방법론이 필수적이라는 점입니다.",transcripts/2026-08-03/Enterprise_AI_From_Big_Uncertainty_to_Massive_ROI__FmcULDfEgvM.md
15,A,ERP Suites | JD Edwards Insights,Enterprise AI: From Big Uncertainty to Massive ROI,ok,"이 글의 요점은 ERP Suites가 이런 방식을 제공한다는 것이 아니라, AI 도입이 실제로 매우 쉽고 실현 가능하다는 것을 보여주는 것입니다.",transcripts/2026-08-03/Enterprise_AI_From_Big_Uncertainty_to_Massive_ROI__FmcULDfEgvM.md
16,A,INSEAD,Making AI Transformation Work: Avoiding the Mistakes from Digital Transformation,ok,그리고 KPI가 나비에 비유된 이유는 나비가 한쪽 날개 없이는 날 수 없기 때문입니다.,transcripts/2026-07-18/Making_AI_Transformation_Work_Avoiding_the_Mistakes_from_Dig__CoPCP3f1DzM.md
16,A,INSEAD,Making AI Transformation Work: Avoiding the Mistakes from Digital Transformation,ok,"저는 여전히 믿지는 않지만, 프로덕트 오너 교육에 등록했어요.",transcripts/2026-07-18/Making_AI_Transformation_Work_Avoiding_the_Mistakes_from_Dig__CoPCP3f1DzM.md
16,A,INSEAD,Making AI Transformation Work: Avoiding the Mistakes from Digital Transformation,ok,예술이지 과학이 아니거든요,transcripts/2026-07-18/Making_AI_Transformation_Work_Avoiding_the_Mistakes_from_Dig__CoPCP3f1DzM.md
16,A,INSEAD,Making AI Transformation Work: Avoiding the Mistakes from Digital Transformation,ok,무엇보다 중요한 것은 경쟁 우위를 확보할 수 있는 가치 제안을 고객에게 어떻게 제공할 것인가입니다.,transcripts/2026-07-18/Making_AI_Transformation_Work_Avoiding_the_Mistakes_from_Dig__CoPCP3f1DzM.md
16,A,INSEAD,Making AI Transformation Work: Avoiding the Mistakes from Digital Transformation,ok,왜냐하면 그들은 먼저 데이터를 활용할 수 있도록 하는 디지털 전환을 완료하지 못했기 때문입니다,transcripts/2026-07-18/Making_AI_Transformation_Work_Avoiding_the_Mistakes_from_Dig__CoPCP3f1DzM.md
17,A,Infosys,The Boardroom Mandate: Scaling AI for Business Impact | Davos 2026,ok,"저희는 지난 10월에 모바일 뱅킹에 AI 챗봇을 출시했는데, 이미 고객 문의의 20%를 처리하고 있습니다",transcripts/channels/Infosys/The_Boardroom_Mandate_Scaling_AI_for_Business_Impact_Davos_2__0ixUiXr2DVY.md
17,A,Infosys,The Boardroom Mandate: Scaling AI for Business Impact | Davos 2026,ok,따라서 이사회 와 경영진 사이에는 상당한 지식 격차가 존재한다고 생각합니다.,transcripts/channels/Infosys/The_Boardroom_Mandate_Scaling_AI_for_Business_Impact_Davos_2__0ixUiXr2DVY.md
17,A,Infosys,The Boardroom Mandate: Scaling AI for Business Impact | Davos 2026,ok,사실 제 생각에는 기술 분야에서 제가 지난 26년간 은행업계에 몸담으면서 봐왔던 장벽들과 크게 다르지 않습니다.,transcripts/channels/Infosys/The_Boardroom_Mandate_Scaling_AI_for_Business_Impact_Davos_2__0ixUiXr2DVY.md
17,A,Infosys,The Boardroom Mandate: Scaling AI for Business Impact | Davos 2026,ok,"우리는 시간이 지남에 따라 인력을 감축할 것이고, 특히 지원 기능 부문에서 그렇게 될 것이라고 예상합니다.",transcripts/channels/Infosys/The_Boardroom_Mandate_Scaling_AI_for_Business_Impact_Davos_2__0ixUiXr2DVY.md
18,A,Liam Ottley,What is an AI Transformation Partner? (and how to become one),ok,"따라서 AI 전환 파트너는 조직의 포괄적인 AI 도입을 안내하는 데 특화된 AI 서비스 제공업체로서, 전략, 구현, 교육 및 지속적인 관리를 통합적으로 제공합니다.",transcripts/2026-07-18/What_is_an_AI_Transformation_Partner_(and_how_to_become_one)__aNrWN0M851k.md
18,A,Liam Ottley,What is an AI Transformation Partner? (and how to become one),ok,"이 회사는 연간 2억 달러 규모의 예산과 200명의 직원을 보유하고 있지만, 인공지능 분야에서는 어디서부터 시작해야 할지 몰라 아무런 움직임도 보이지 않고 있었습니다.",transcripts/2026-07-18/What_is_an_AI_Transformation_Partner_(and_how_to_become_one)__aNrWN0M851k.md
18,A,Liam Ottley,What is an AI Transformation Partner? (and how to become one),ok,"음, 이 경우에는 개발 파이프라인에서만 8.3배의 투자 수익률(ROI)을 확실히 확인할 수 있습니다",transcripts/2026-07-18/What_is_an_AI_Transformation_Partner_(and_how_to_become_one)__aNrWN0M851k.md
18,A,Liam Ottley,What is an AI Transformation Partner? (and how to become one),ok,하지만 AI 프로젝트의 80%는 실패하고 있습니다.,transcripts/2026-07-18/What_is_an_AI_Transformation_Partner_(and_how_to_become_one)__aNrWN0M851k.md
