channel,n_docs,aut_top5,aut_mean,aut_max,aug_top5,aug_mean,aug_max,dat_top5,dat_mean,dat_max,cell_paper,cell_relative
Hugging Face,25,2.6,0.68,5,2.6,0.76,3,3.6,0.88,5,L-L-L,L-H-H
Microsoft Developer,18,1.8,0.5,2,4.0,1.11,6,3.0,1.0,6,L-L-L,L-H-H
Arm,43,5.0,0.91,9,1.8,0.21,4,1.8,0.21,4,L-L-L,H-L-L
Boston Dynamics,11,6.0,3.45,9,0.0,0.0,0,2.6,1.18,6,L-L-L,H-L-H
Google Developers,62,2.6,0.65,3,3.2,0.44,4,2.2,0.37,4,L-L-L,L-H-L
Infosys,38,3.8,0.5,8,2.4,0.32,7,1.8,0.24,5,L-L-L,L-H-L
TCS,34,3.2,0.56,9,2.0,0.29,6,2.6,0.38,6,L-L-L,L-H-H
Orange,25,3.2,0.72,5,1.6,0.4,3,2.6,0.52,6,L-L-L,L-L-H
Waymo,12,2.4,1.33,3,2.0,0.83,6,2.8,1.17,7,L-L-L,L-H-H
Upstage,13,4.2,2.0,8,0.6,0.23,1,2.4,1.08,4,L-L-L,H-L-L
Unilever,31,4.8,0.77,10,0.0,0.0,0,1.6,0.26,4,L-L-L,H-L-L
GE HealthCare,23,3.6,0.83,5,1.4,0.3,4,1.0,0.22,3,L-L-L,L-L-L
Microsoft,16,3.0,1.0,5,2.8,1.25,4,0.2,0.06,1,L-L-L,L-H-L
Telefónica,17,4.0,1.18,11,2.0,0.59,4,0.0,0.0,0,L-L-L,H-H-L
Cursor,7,3.6,2.57,7,1.2,0.86,2,0.2,0.14,1,L-L-L,L-L-L
Wayve,7,1.2,0.86,4,0.4,0.29,1,3.0,2.14,5,L-L-L,L-L-H
Reckitt,19,4.0,1.05,6,0.0,0.0,0,0.4,0.11,2,L-L-L,H-L-L
SambaNova,6,1.2,1.0,3,1.0,0.83,4,2.0,1.67,5,L-L-L,L-L-L
Scale AI,25,0.4,0.08,2,1.0,0.2,4,2.8,0.56,4,L-L-L,L-L-H
Philips,7,1.6,1.14,6,2.2,1.57,4,0.0,0.0,0,L-L-L,L-H-L
Meta,8,1.2,0.75,5,2.6,1.62,6,0.0,0.0,0,L-L-L,L-H-L
SK hynix,27,2.0,0.37,5,0.4,0.07,2,1.0,0.19,3,L-L-L,L-L-L
Cerebras,8,1.2,0.75,3,0.2,0.12,1,1.6,1.0,4,L-L-L,L-L-L
Telenor,11,2.0,1.0,3,0.4,0.18,2,0.6,0.27,2,L-L-L,L-L-L
Accenture,9,2.4,1.44,4,0.2,0.11,1,0.2,0.11,1,L-L-L,L-L-L
L'Oréal,19,0.0,0.0,0,2.0,0.53,6,0.8,0.21,3,L-L-L,L-H-L
SoftBank,5,2.6,2.6,5,0.0,0.0,0,0.0,0.0,0,L-L-L,L-L-L
Volvo Cars,9,0.0,0.0,0,1.8,1.0,4,0.6,0.33,2,L-L-L,L-L-L
Nissan,7,2.0,1.43,7,0.2,0.14,1,0.0,0.0,0,L-L-L,L-L-L
Tesla,5,2.0,2.0,5,0.0,0.0,0,0.2,0.2,1,L-L-L,L-L-L
Mayo Clinic,9,0.0,0.0,0,2.0,1.11,6,0.0,0.0,0,L-L-L,L-H-L
Boston Consulting Group,10,1.4,0.7,4,0.4,0.2,2,0.2,0.1,1,L-L-L,L-L-L
Zoox,7,1.6,1.14,5,0.0,0.0,0,0.2,0.14,1,L-L-L,L-L-L
Google,15,0.6,0.2,2,0.4,0.13,2,0.6,0.2,2,L-L-L,L-L-L
Runway,20,0.8,0.2,4,0.4,0.1,1,0.0,0.0,0,L-L-L,L-L-L
SK텔레콤,6,0.0,0.0,0,0.0,0.0,0,0.8,0.67,4,L-L-L,L-L-L
Mercedes-Benz,9,0.4,0.22,2,0.2,0.11,1,0.0,0.0,0,L-L-L,L-L-L
LinkedIn,10,0.6,0.3,2,0.0,0.0,0,0.0,0.0,0,L-L-L,L-L-L
Luma AI,5,0.0,0.0,0,0.6,0.6,1,0.0,0.0,0,L-L-L,L-L-L
Vertiv,5,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,L-L-L,L-L-L
