company,date,source,label,case_type,mentions,title,claim,has_metric,score,rank,url,file
티타임즈TV,2026-07,keyword,DX,자사/일반,,AI 도입을 위해 AI 도입보다 더 중요한 것은? (김유신 상무),기업에서 AI 도입의 첫 단추는 어떤 문제를 풀 것인가라는 부분입니다.,N,2,3,https://www.youtube.com/watch?v=4n4xMvpuCDY,transcripts/2026-07-18/AI_도입을_위해_AI_도입보다_더_중요한_것은_(김유신_상무)__4n4xMvpuCDY.md
AI 전환공식 김건우,2026-07,keyword,AX,자사/일반,,"AI 전환(AX) 시대, 어떤 직무가 끝까지 살아남을까?ㅣ『AI 전환 절대 공식』저자 김건우",뒤에 설명드리겠지만 이러한 북미 지역의 채용들이 어 10%에서 12% 확대된다라는 기사들과 내용들이 있습니다.,Y,3,1,https://www.youtube.com/watch?v=7s8O1R8p0Rk,"transcripts/2026-07-18/AI_전환(AX)_시대,_어떤_직무가_끝까지_살아남을까ㅣ『AI_전환_절대_공식』저자_김건우__7s8O1R8p0Rk.md"
AI 전환공식 김건우,2026-07,keyword,AX,자사/일반,,"AI 전환(AX) 시대, 어떤 직무가 끝까지 살아남을까?ㅣ『AI 전환 절대 공식』저자 김건우",저도 마찬가지로 개발을 안 한지 10년이 넘습니다.,Y,3,2,https://www.youtube.com/watch?v=7s8O1R8p0Rk,"transcripts/2026-07-18/AI_전환(AX)_시대,_어떤_직무가_끝까지_살아남을까ㅣ『AI_전환_절대_공식』저자_김건우__7s8O1R8p0Rk.md"
AI 전환공식 김건우,2026-07,keyword,AX,자사/일반,,"AI 전환(AX) 시대, 어떤 직무가 끝까지 살아남을까?ㅣ『AI 전환 절대 공식』저자 김건우",결국에는 AI 도구가 정형업무화돼서 흐르는 부분들을 흡수할수록 초년차 AI 도구를 사고적으로 구조적으로 활용하는 인재들에 대한 영향이 조금 더 빨리 평가되고 필요하다고 생각합니다.,N,2,3,https://www.youtube.com/watch?v=7s8O1R8p0Rk,"transcripts/2026-07-18/AI_전환(AX)_시대,_어떤_직무가_끝까지_살아남을까ㅣ『AI_전환_절대_공식』저자_김건우__7s8O1R8p0Rk.md"
AI 전환공식 김건우,2026-07,keyword,AX,자사/일반,,AI 전환 (AX) 성공한 기업들은 무엇이 다를까? | JP모건·월마트 사례로 보는 AX 성공 공식 (AI 전환 절대공식 저자),그러한 지점을 통해서 기술과 솔루션은 도입하되 각각의 공통 지점이 확산돼서 누적될 수 있는 관점으로 AI 트랜스포메이션을 지원했고 그 과정에서 150만 명이라는 어 유저들이 체감을 할 수 있고 변화들을 느끼고 있다라고 말씀드릴 수 있습니다.,Y,4,1,https://www.youtube.com/watch?v=-B2A2gIxwIY,transcripts/2026-07-18/AI_전환_(AX)_성공한_기업들은_무엇이_다를까_JP모건·월마트_사례로_보는_AX_성공_공식_(AI_전환___-B2A2gIxwIY.md
AI 전환공식 김건우,2026-07,keyword,AX,자사/일반,,AI 전환 (AX) 성공한 기업들은 무엇이 다를까? | JP모건·월마트 사례로 보는 AX 성공 공식 (AI 전환 절대공식 저자),"24년에 타겟이라는 유통 회사에서는 2,000개의 매장을 대상으로 확대해서 결국에는 이러한 현장 직원에 대한 고통.",Y,3,2,https://www.youtube.com/watch?v=-B2A2gIxwIY,transcripts/2026-07-18/AI_전환_(AX)_성공한_기업들은_무엇이_다를까_JP모건·월마트_사례로_보는_AX_성공_공식_(AI_전환___-B2A2gIxwIY.md
AI 전환공식 김건우,2026-07,keyword,AX,자사/일반,,AX (AI 전환) 제대로 모르면 망합니다 | 개념·사례·원리 완벽 정리 (AI 전환 절대공식 저자),첫 번째 키노트는 AI를 도입했는데 왜 AI 트랜스포메이션 AX에 대해서 왜 잘 안 되는지에 대해서 한번 고민하고 페인포인트 지점들을 찾으려고 합니다.,N,2,1,https://www.youtube.com/watch?v=Kaaq7_9vzYs,transcripts/2026-07-18/AX_(AI_전환)_제대로_모르면_망합니다_개념·사례·원리_완벽_정리_(AI_전환_절대공식_저자)__Kaaq7_9vzYs.md
AI 전환공식 김건우,2026-07,keyword,AX,자사/일반,,AX (AI 전환) 제대로 모르면 망합니다 | 개념·사례·원리 완벽 정리 (AI 전환 절대공식 저자),어 이런 체감에서 결국에는 AI 도입과 AX AI 트랜스포메이션이 무엇이 다를까요라는 질문을 많이 합니다.,N,2,2,https://www.youtube.com/watch?v=Kaaq7_9vzYs,transcripts/2026-07-18/AX_(AI_전환)_제대로_모르면_망합니다_개념·사례·원리_완벽_정리_(AI_전환_절대공식_저자)__Kaaq7_9vzYs.md
AI 전환공식 김건우,2026-07,keyword,AX,자사/일반,,AX (AI 전환) 제대로 모르면 망합니다 | 개념·사례·원리 완벽 정리 (AI 전환 절대공식 저자),특히 첫 번째 AI 도입이라는 것을 저희가 살펴보면요.,N,2,3,https://www.youtube.com/watch?v=Kaaq7_9vzYs,transcripts/2026-07-18/AX_(AI_전환)_제대로_모르면_망합니다_개념·사례·원리_완벽_정리_(AI_전환_절대공식_저자)__Kaaq7_9vzYs.md
CNBC International Live,2026-07,keyword,AX,자사/일반,,Cohere CEO names the barriers to enterprise AI adoption,it seems like the the teams inside of Enterprises they've got that familiarity now and there's much more intent the barriers to adoption and really realizing value I think it's twofold the first is privacy so if you think about systems built with AI if they can't access the systems that your humans use or the data that your humans use they can't actually drive value they can't help the humans in d…,N,2,1,https://www.youtube.com/watch?v=qD9AxSVYCOY,transcripts/2026-07-18/Cohere_CEO_names_the_barriers_to_enterprise_AI_adoption__qD9AxSVYCOY.md
The Tech Trek,2026-07,keyword,AX,자사/일반,,Enterprise AI Adoption in 2025: What Actually Works,He is CTO Aboomi and we're going to be talking about enterprise AI adoption.,N,2,1,https://www.youtube.com/watch?v=9MkMQ6zkjLw,transcripts/2026-07-18/Enterprise_AI_Adoption_in_2025_What_Actually_Works__9MkMQ6zkjLw.md
The Tech Trek,2026-07,keyword,AX,자사/일반,,Enterprise AI Adoption in 2025: What Actually Works,Boommy is a platform that is at the core of organizations and helps them connect their applications and drive automation and in the context of AI really helps you orchestrate generative AI to connect it to the core of your business.,N,2,2,https://www.youtube.com/watch?v=9MkMQ6zkjLw,transcripts/2026-07-18/Enterprise_AI_Adoption_in_2025_What_Actually_Works__9MkMQ6zkjLw.md
The Tech Trek,2026-07,keyword,AX,자사/일반,,Enterprise AI Adoption in 2025: What Actually Works,"So, you know, I I love the con, you know, the discussion around enterprise AI adoption.",N,2,3,https://www.youtube.com/watch?v=9MkMQ6zkjLw,transcripts/2026-07-18/Enterprise_AI_Adoption_in_2025_What_Actually_Works__9MkMQ6zkjLw.md
Boston Consulting Group,2026-07,keyword,unclassified,자사/일반,,How to Drive AI Adoption Internally,"Lee, what is your organization doing to drive AI adoption internally?",N,2,1,https://www.youtube.com/watch?v=hd6L4DRWgvY,transcripts/2026-07-18/How_to_Drive_AI_Adoption_Internally__hd6L4DRWgvY.md
Boston Consulting Group,2026-07,keyword,unclassified,자사/일반,,How to Drive AI Adoption Internally,"John, what challenges are companies facing when it comes to scaling AI?",N,2,2,https://www.youtube.com/watch?v=hd6L4DRWgvY,transcripts/2026-07-18/How_to_Drive_AI_Adoption_Internally__hd6L4DRWgvY.md
Boston Consulting Group,2026-07,keyword,unclassified,자사/일반,,How to Drive AI Adoption Internally,"Then the next piece is obviously getting into the technology transformation that you sometimes also need to do to implement agents, to implement AI technology.",N,2,3,https://www.youtube.com/watch?v=hd6L4DRWgvY,transcripts/2026-07-18/How_to_Drive_AI_Adoption_Internally__hd6L4DRWgvY.md
GOTO Conferences,2026-07,keyword,AX,자사/일반,,How to Lead Your Organisation’s AI-Transformation • Rasmus Lystrøm • YOW! 2024,"제가 Something Blue Ops에서 본 것처럼, 생성형 인공지능이 소프트웨어 개발자의 성과에 미치는 영향은 생산성을 4% 향상시키며, 중간 정도 사용량의 사용자들도 높은 성과를 보이는 것으로 나타났습니다.",Y,4,1,https://www.youtube.com/watch?v=1uJZlKig0Tk,transcripts/2026-07-18/How_to_Lead_Your_Organisation’s_AI-Transformation_•_Rasmus_L__1uJZlKig0Tk.md
GOTO Conferences,2026-07,keyword,AX,자사/일반,,How to Lead Your Organisation’s AI-Transformation • Rasmus Lystrøm • YOW! 2024,"최근 발표된 도라 보고서에 따르면 AI 도입이 25% 증가할 경우 문서 품질과 코드 품질이 약간 향상되지만, 처리량과 배송 시간은 줄어들고 배송 안정성도 떨어질 것으로 예상됩니다.",Y,4,2,https://www.youtube.com/watch?v=1uJZlKig0Tk,transcripts/2026-07-18/How_to_Lead_Your_Organisation’s_AI-Transformation_•_Rasmus_L__1uJZlKig0Tk.md
GOTO Conferences,2026-07,keyword,AX,자사/일반,,How to Lead Your Organisation’s AI-Transformation • Rasmus Lystrøm • YOW! 2024,"또 다른 문제는 제가 함께 일하는 회사들의 80%, 아니 어쩌면 100%가 새로운 플랫폼 도입을 80% 정도만 진행한 상태라는 것입니다 .",Y,3,3,https://www.youtube.com/watch?v=1uJZlKig0Tk,transcripts/2026-07-18/How_to_Lead_Your_Organisation’s_AI-Transformation_•_Rasmus_L__1uJZlKig0Tk.md
메타코드M,2026-07,keyword,AX,자사/일반,,"In the era of AI transformation (AX), we'll teach you everything about AX in just 30 minutes - [A...",그래서 2025년 핵심 포인트는 단순 기술 도입뿐만 아니라 비즈니스 전략과 AI 유압을 통해서 새로운 가치를 만들어내는 과정이라고도 볼 수 있습니다.,Y,4,1,https://www.youtube.com/watch?v=ErviFf8I6K4,"transcripts/2026-07-18/In_the_era_of_AI_transformation_(AX),_we'll_teach_you_everyt__ErviFf8I6K4.md"
메타코드M,2026-07,keyword,AX,자사/일반,,"In the era of AI transformation (AX), we'll teach you everything about AX in just 30 minutes - [A...",25년 기준에 AI 전환을 통해서 주요 핵심 원인이나 시사점들을 좀 살펴보려고 합니다.,Y,4,2,https://www.youtube.com/watch?v=ErviFf8I6K4,"transcripts/2026-07-18/In_the_era_of_AI_transformation_(AX),_we'll_teach_you_everyt__ErviFf8I6K4.md"
메타코드M,2026-07,keyword,AX,자사/일반,,"In the era of AI transformation (AX), we'll teach you everything about AX in just 30 minutes - [A...",그래서 규제와 내부 정책에 대한 수립의 필요성들이 점점점 강화되고 있고 2025년까지 A의 거버넌스 프레임워크 자체를 글로벌 기업들은 대부분 고려하거나 도입하는 부분을 생각하고 있습니다.,Y,3,3,https://www.youtube.com/watch?v=ErviFf8I6K4,"transcripts/2026-07-18/In_the_era_of_AI_transformation_(AX),_we'll_teach_you_everyt__ErviFf8I6K4.md"
Amazon Web Services,2026-07,keyword,AX,자사/일반,,Leading AI Transformation: A Chief AI Officer's Perspective | Amazon Web Services,저희는 90년대에 JPL과 협력하여 최초의 자율 우주선을 개발했습니다.,Y,3,1,https://www.youtube.com/watch?v=LblTPS1LnLc,transcripts/2026-07-18/Leading_AI_Transformation_A_Chief_AI_Officer's_Perspective_A__LblTPS1LnLc.md
Amazon Web Services,2026-07,keyword,AX,자사/일반,,Leading AI Transformation: A Chief AI Officer's Perspective | Amazon Web Services,하지만 소프트웨어 개발자의 효율성이 30~40% 향상된다고 해서 개발자 수를 30~40% 줄일 수 있다는 뜻일까요?,Y,3,2,https://www.youtube.com/watch?v=LblTPS1LnLc,transcripts/2026-07-18/Leading_AI_Transformation_A_Chief_AI_Officer's_Perspective_A__LblTPS1LnLc.md
Amazon Web Services,2026-07,keyword,AX,자사/일반,,Leading AI Transformation: A Chief AI Officer's Perspective | Amazon Web Services,"이제 데이터 개선을 위한 어떤 노력이라도 10년씩 걸리는 고된 여정으로, 아무런 성과도 없는 일로 만들어버리기 쉽습니다 .",Y,3,3,https://www.youtube.com/watch?v=LblTPS1LnLc,transcripts/2026-07-18/Leading_AI_Transformation_A_Chief_AI_Officer's_Perspective_A__LblTPS1LnLc.md
Boston Consulting Group,2026-07,keyword,AX,자사/일반,,Leading an AI Transformation,The pace of change in this AI transformation is unlike anything I've ever seen.,N,2,1,https://www.youtube.com/watch?v=5VMbGgInp0E,transcripts/2026-07-18/Leading_an_AI_Transformation__5VMbGgInp0E.md
Boston Consulting Group,2026-07,keyword,AX,자사/일반,,Leading an AI Transformation,We certainly have that with the AI transformation.,N,2,2,https://www.youtube.com/watch?v=5VMbGgInp0E,transcripts/2026-07-18/Leading_an_AI_Transformation__5VMbGgInp0E.md
Boston Consulting Group,2026-07,keyword,AX,자사/일반,,Leading an AI Transformation,"Your own company, you just led Growth Loop through a full AI transformation.",N,2,3,https://www.youtube.com/watch?v=5VMbGgInp0E,transcripts/2026-07-18/Leading_an_AI_Transformation__5VMbGgInp0E.md
INSEAD,2026-07,keyword,AX,자사/일반,,Making AI Transformation Work: Avoiding the Mistakes from Digital Transformation,"만약 1년 반 동안 특정 기술을 활용하여 멋진 것을 만들었다고 해도, 지금 돌이켜보면 거의 무의미할 것입니다.",Y,3,1,https://www.youtube.com/watch?v=CoPCP3f1DzM,transcripts/2026-07-18/Making_AI_Transformation_Work_Avoiding_the_Mistakes_from_Dig__CoPCP3f1DzM.md
INSEAD,2026-07,keyword,AX,자사/일반,,Making AI Transformation Work: Avoiding the Mistakes from Digital Transformation,또는 기술자가 현장에 나갈 때 발생하는 경로 오류에 이 데이터를 활용하여 방문 횟수를 60% 줄였습니다.,Y,3,2,https://www.youtube.com/watch?v=CoPCP3f1DzM,transcripts/2026-07-18/Making_AI_Transformation_Work_Avoiding_the_Mistakes_from_Dig__CoPCP3f1DzM.md
INSEAD,2026-07,keyword,AX,자사/일반,,Making AI Transformation Work: Avoiding the Mistakes from Digital Transformation,"음, 그러니까 이 사례는 AI 전환을 성공적으로 이끌어내는 것에 관한 것입니다.",N,2,3,https://www.youtube.com/watch?v=CoPCP3f1DzM,transcripts/2026-07-18/Making_AI_Transformation_Work_Avoiding_the_Mistakes_from_Dig__CoPCP3f1DzM.md
Microsoft Learn,2026-07,keyword,AX,자사/일반,,Prepare for Microsoft Certification Exam AB-731: AI Transformation Leader,"Objective 3 focuses on implementation and adoption strategies for Microsoft AI solutions and accounts, and for about 20 to 25% of the exam.",Y,4,1,https://www.youtube.com/watch?v=mj_lyhuWbig,transcripts/2026-07-18/Prepare_for_Microsoft_Certification_Exam_AB-731_AI_Transform__mj_lyhuWbig.md
Microsoft Learn,2026-07,keyword,AX,자사/일반,,Prepare for Microsoft Certification Exam AB-731: AI Transformation Leader,"ANDREW CONNIFF: Hello and welcome to ""Preparing for Exam AB-731 AI Transformation Leader."" I'm Andrew Conniff, a Microsoft Technical Trainer focusing on Copilot and AI strategy adoption.",N,2,2,https://www.youtube.com/watch?v=mj_lyhuWbig,transcripts/2026-07-18/Prepare_for_Microsoft_Certification_Exam_AB-731_AI_Transform__mj_lyhuWbig.md
Microsoft Learn,2026-07,keyword,AX,자사/일반,,Prepare for Microsoft Certification Exam AB-731: AI Transformation Leader,The certification journey leading to the AI Transformation Leader credential shows how the Exam Prep Series fits within the broader path.,N,2,3,https://www.youtube.com/watch?v=mj_lyhuWbig,transcripts/2026-07-18/Prepare_for_Microsoft_Certification_Exam_AB-731_AI_Transform__mj_lyhuWbig.md
BOI (Board of Innovation),2026-07,keyword,AX,자사/일반,,"Webinar: AI transformation that works, lessons from the trenches",지난 10년간 저는 자동화와 업무 방식의 혁신에 집중해 왔습니다 .,Y,3,1,https://www.youtube.com/watch?v=PL3OWn143AI,"transcripts/2026-07-18/Webinar_AI_transformation_that_works,_lessons_from_the_trenc__PL3OWn143AI.md"
BOI (Board of Innovation),2026-07,keyword,AX,자사/일반,,"Webinar: AI transformation that works, lessons from the trenches",비용을 10% 절감하는 게 아닙니다 .,Y,3,2,https://www.youtube.com/watch?v=PL3OWn143AI,"transcripts/2026-07-18/Webinar_AI_transformation_that_works,_lessons_from_the_trenc__PL3OWn143AI.md"
BOI (Board of Innovation),2026-07,keyword,AX,자사/일반,,"Webinar: AI transformation that works, lessons from the trenches","예를 들어, 청구 처리 프로세스에서 비용을 10% 절감 하거나 시간을 10% 단축할 수 있다면, 그것은 큰 변화가 아니죠.",Y,3,3,https://www.youtube.com/watch?v=PL3OWn143AI,"transcripts/2026-07-18/Webinar_AI_transformation_that_works,_lessons_from_the_trenc__PL3OWn143AI.md"
코딩알려주는누나,2026-07,keyword,DX,자사/일반,,"What Corporate Giants Are Really Like, According to an AI Instructor | Why They Waste Money and F...","음, 제가 뭐 모든 기업을가 본 건 아니지만 &gt;&gt; 중요한 기업들은 거의 다 가봤는데 대기업들은 기업들은 일단 기본적으로 채치 같은 서비스는 전부 다 도입이 되어 있고 그거는 2년 전부터 도입을 다 해서 다 쓰고 있는데 이제 이거를 제대로 쓰고 싶다라는 단계에서 여러 가지 서비스를 도입을 해요.",Y,3,1,https://www.youtube.com/watch?v=Ih32CEOx2gM,"transcripts/2026-07-18/What_Corporate_Giants_Are_Really_Like,_According_to_an_AI_In__Ih32CEOx2gM.md"
코딩알려주는누나,2026-07,keyword,DX,자사/일반,,"What Corporate Giants Are Really Like, According to an AI Instructor | Why They Waste Money and F...",뭐 예를 들면 그 트위터도 &gt;&gt; X로 사명 바꾸고 그 당시에 개발자 엔지니어 링팀 90% 감축하면서 진짜 욕이란 욕은 다 먹었어요.,Y,3,2,https://www.youtube.com/watch?v=Ih32CEOx2gM,"transcripts/2026-07-18/What_Corporate_Giants_Are_Really_Like,_According_to_an_AI_In__Ih32CEOx2gM.md"
코딩알려주는누나,2026-07,keyword,DX,자사/일반,,"What Corporate Giants Are Really Like, According to an AI Instructor | Why They Waste Money and F...",막 이런 거 해 가지고 프롬프트 엔지니어링 뭐 이런 거 많이 하다가 요즘에는 다 에이전트 &gt;&gt; 무조건 에이전트 &gt;&gt; 무조건 에이전트 다 에이전트 얘기하고 그리고 이제 조금 더 기업들이 제가 느끼기에는 많이 열려서 클로드 코드나 커서 이런 거를 도입하고 싶다.,N,2,3,https://www.youtube.com/watch?v=Ih32CEOx2gM,"transcripts/2026-07-18/What_Corporate_Giants_Are_Really_Like,_According_to_an_AI_In__Ih32CEOx2gM.md"
Liam Ottley,2026-07,keyword,AX,자사/일반,,What is an AI Transformation Partner? (and how to become one),"저희는 여러분과 12 개월 이상 함께 일하며, 여러분의 AI 전환 과정의 모든 단계에서 여러분을 지원하고 싶습니다.",Y,4,1,https://www.youtube.com/watch?v=aNrWN0M851k,transcripts/2026-07-18/What_is_an_AI_Transformation_Partner_(and_how_to_become_one)__aNrWN0M851k.md
Liam Ottley,2026-07,keyword,AX,자사/일반,,What is an AI Transformation Partner? (and how to become one),"음, 저를 오랫동안 지켜봐 오신 분들은 아시겠지만, 2023년에 제가 AI 자동화 에이전시, 즉 AAA 모델을 구상했었습니다.",Y,4,2,https://www.youtube.com/watch?v=aNrWN0M851k,transcripts/2026-07-18/What_is_an_AI_Transformation_Partner_(and_how_to_become_one)__aNrWN0M851k.md
Liam Ottley,2026-07,keyword,AX,자사/일반,,What is an AI Transformation Partner? (and how to become one),"맞춤 코딩된 챗봇에 15,000달러를 청구하는 대신 , VoiceFlow나 초창기에는 Botress와 같은 노코드 플랫폼을 사용하여 고객을 위한 솔루션을 구축 하고 가격대를 낮추고 개발 난이도 도 낮출 수 있었습니다.",Y,4,3,https://www.youtube.com/watch?v=aNrWN0M851k,transcripts/2026-07-18/What_is_an_AI_Transformation_Partner_(and_how_to_become_one)__aNrWN0M851k.md
