channel,year,n_docs,aut_top3,aug_top3,dat_top3,aitf_sum,delta_sum,shift
Hugging Face,2022,7,1.33,1.0,2.33,4.66,,기준연도
Hugging Face,2024,6,0.33,1.33,2.67,4.33,-0.33,데이터 +0.3
Hugging Face,2026,9,2.67,1.67,0.33,4.67,0.34,자동화 +2.3
IBM Technology,2026,46,5.67,5.67,5.0,16.34,,기준연도
IKEA,2020,3,0.0,0.0,0.67,0.67,,기준연도
IQVIA,2025,13,0.33,0.33,1.0,1.66,,기준연도
IQVIA,2026,24,3.67,1.67,6.67,12.01,10.35,데이터 +5.7
Infosys,2025,26,2.67,0.0,0.0,2.67,,기준연도
Infosys,2026,12,3.67,4.0,3.0,10.67,8.0,증강 +4.0
Intel,2024,5,2.67,0.67,3.0,6.34,,기준연도
Intel,2025,42,9.67,8.67,6.67,25.01,18.67,증강 +8.0
Intel,2026,15,5.33,5.0,1.33,11.66,-13.35,증강 -3.7
L'Oréal,2023,4,0.0,0.0,1.0,1.0,,기준연도
L'Oréal,2025,9,0.0,3.33,0.0,3.33,2.33,증강 +3.3
L'Oréal,2026,4,0.0,0.0,0.33,0.33,-3.0,데이터 +0.3
LG AI Research,2020,6,0.0,3.0,0.67,3.67,,기준연도
LG AI Research,2021,6,2.67,1.0,4.67,8.34,4.67,데이터 +4.0
LG AI Research,2022,8,6.67,1.67,7.67,16.01,7.67,자동화 +4.0
LG AI Research,2025,3,2.67,1.67,2.0,6.34,-9.67,정체
LinkedIn,2024,6,0.33,0.0,0.0,0.33,,기준연도
Luma AI,2026,3,0.0,0.67,0.0,0.67,,기준연도
Mayo Clinic,2026,9,0.0,3.33,0.0,3.33,,기준연도
McKinsey & Company,2025,28,8.33,3.33,4.0,15.66,,기준연도
McKinsey & Company,2026,61,10.33,3.67,4.0,18.0,2.34,자동화 +2.0
Mercedes-Benz,2026,7,0.67,0.33,0.0,1.0,,기준연도
Meta,2025,4,1.67,0.67,0.0,2.34,,기준연도
Meta Developers,2025,22,3.33,4.33,2.0,9.66,,기준연도
Meta Developers,2026,11,3.33,3.67,0.33,7.33,-2.33,정체
Microsoft,2025,3,1.67,1.0,0.0,2.67,,기준연도
Microsoft,2026,13,3.33,3.33,0.33,6.99,4.32,증강 +2.3
Microsoft Azure,2026,51,8.0,8.0,7.33,23.33,,기준연도
Microsoft Developer,2026,18,2.0,5.0,4.0,11.0,,기준연도
Mistral AI,2026,10,5.67,4.33,5.33,15.33,,기준연도
NAVER Cloud,2023,18,4.0,3.67,6.67,14.34,,기준연도
NAVER Cloud,2024,5,3.0,0.0,3.0,6.0,-8.34,자동화 -1.0
NAVER Cloud,2025,8,2.33,2.0,5.67,10.0,4.0,데이터 +2.7
NVIDIA,2026,49,5.67,3.0,6.33,15.0,,기준연도
NVIDIA Developer,2025,59,4.67,4.67,8.0,17.34,,기준연도
NVIDIA Developer,2026,26,4.33,4.33,7.0,15.66,-1.68,자동화 -0.3
Nissan,2023,3,1.0,0.33,0.0,1.33,,기준연도
Nokia,2026,45,10.33,0.33,6.0,16.66,,기준연도
OpenAI,2026,32,6.33,2.67,2.33,11.33,,기준연도
Oracle,2026,32,6.0,0.67,7.0,13.67,,기준연도
Orange,2025,6,1.33,0.33,0.0,1.66,,기준연도
Orange,2026,19,3.67,2.0,3.67,9.34,7.68,데이터 +3.7
Palantir,2024,11,4.67,0.67,2.67,8.01,,기준연도
Palantir,2025,38,8.67,2.67,5.33,16.67,8.66,자동화 +4.0
Philips,2026,7,2.67,3.0,0.0,5.67,,기준연도
Pinecone,2022,3,0.33,0.67,3.67,4.67,,기준연도
Pinecone,2023,12,2.67,4.67,9.67,17.01,12.34,데이터 +6.0
Pinecone,2024,21,2.33,8.0,10.33,20.66,3.65,증강 +3.3
Pinecone,2025,7,4.0,5.0,8.33,17.33,-3.33,자동화 +1.7
Qdrant,2025,19,5.0,6.0,7.33,18.33,,기준연도
Qdrant,2026,12,2.67,1.67,5.67,10.01,-8.32,데이터 -1.7
Reckitt,2020,5,0.0,0.0,0.0,0.0,,기준연도
Reckitt,2021,3,0.0,0.0,0.0,0.0,0.0,정체
Reckitt,2024,3,0.0,0.0,0.0,0.0,0.0,정체
Reckitt,2025,4,4.0,0.0,0.0,4.0,4.0,자동화 +4.0
Replit,2024,3,2.33,0.67,0.67,3.67,,기준연도
Replit,2025,12,7.0,1.0,2.0,10.0,6.33,자동화 +4.7
Replit,2026,13,3.33,1.0,0.67,5.0,-5.0,정체
Runway,2025,10,1.33,0.33,0.0,1.66,,기준연도
Runway,2026,7,0.0,0.0,0.0,0.0,-1.66,정체
SAP,2026,79,10.67,9.33,9.33,29.33,,기준연도
SK hynix,2025,14,0.67,0.0,0.67,1.34,,기준연도
SK hynix,2026,13,2.67,0.67,1.0,4.34,3.0,자동화 +2.0
SK텔레콤,2025,3,0.0,0.0,1.33,1.33,,기준연도
SK텔레콤,2026,3,0.0,0.0,0.0,0.0,-1.33,정체
Salesforce,2025,9,4.33,1.67,4.33,10.33,,기준연도
Salesforce,2026,54,6.33,3.67,5.0,15.0,4.67,자동화 +2.0
SambaNova,2025,3,1.0,1.67,3.33,6.0,,기준연도
SambaNova,2026,3,1.0,0.0,0.0,1.0,-5.0,정체
Scale AI,2020,6,0.0,0.0,0.0,0.0,,기준연도
Scale AI,2022,9,0.0,0.33,3.0,3.33,3.33,데이터 +3.0
Scale AI,2024,5,0.0,0.0,0.0,0.0,-3.33,정체
Scale AI,2025,3,0.67,1.33,1.33,3.33,3.33,증강 +1.3
Schneider Electric,2026,35,5.33,0.67,6.0,12.0,,기준연도
ServiceNow,2025,29,8.0,2.67,4.0,14.67,,기준연도
ServiceNow,2026,16,8.33,2.33,4.33,14.99,0.32,자동화 +0.3
Siemens,2026,48,10.33,4.67,7.33,22.33,,기준연도
Snap,2023,3,0.0,1.67,0.0,1.67,,기준연도
Snowflake,2025,27,4.67,1.67,8.67,15.01,,기준연도
Snowflake,2026,30,6.0,2.0,9.0,17.0,1.99,자동화 +1.3
SoftBank,2026,5,4.33,0.0,0.0,4.33,,기준연도
Stability AI,2026,3,0.0,0.0,0.0,0.0,,기준연도
TCS,2025,23,1.67,1.33,3.67,6.67,,기준연도
TCS,2026,11,4.0,2.0,0.67,6.67,0.0,자동화 +2.3
Telefónica,2025,14,6.0,3.0,0.0,9.0,,기준연도
Telefónica,2026,3,0.0,0.0,0.0,0.0,-9.0,정체
Telenor,2021,4,1.33,0.0,0.0,1.33,,기준연도
Telenor,2022,5,2.0,0.67,0.67,3.34,2.01,증강 +0.7
Tesla,2023,3,1.67,0.0,0.0,1.67,,기준연도
Unilever,2024,10,8.0,0.0,2.33,10.33,,기준연도
Unilever,2025,8,0.0,0.0,0.33,0.33,-10.0,정체
Unilever,2026,13,0.0,0.0,0.0,0.0,-0.33,정체
Upstage,2021,6,3.67,0.33,3.0,7.0,,기준연도
Upstage,2024,3,0.67,0.0,0.0,0.67,-6.33,증강 -0.3
Upstage,2025,3,1.33,0.67,0.67,2.67,2.0,증강 +0.7
Vertiv,2026,5,0.0,0.0,0.0,0.0,,기준연도
Volvo Cars,2021,3,0.0,0.33,1.0,1.33,,기준연도
Waymo,2021,3,2.33,2.33,3.0,7.66,,기준연도
Wayve,2024,3,0.0,0.33,3.33,3.66,,기준연도
Weaviate,2024,18,4.33,4.0,7.67,16.0,,기준연도
Weaviate,2025,28,4.33,5.67,9.0,19.0,3.0,증강 +1.7
Weaviate,2026,9,2.0,1.67,7.33,11.0,-8.0,데이터 -1.7
Weights & Biases,2024,11,6.67,5.67,6.0,18.34,,기준연도
Weights & Biases,2025,59,8.33,7.67,8.0,24.0,5.66,증강 +2.0
Weights & Biases,2026,18,5.33,3.33,3.67,12.33,-11.67,자동화 -3.0
Zapier,2025,56,14.0,5.67,7.0,26.67,,기준연도
Zapier,2026,76,11.0,5.33,3.0,19.33,-7.34,증강 -0.3
Zoox,2023,3,0.0,0.0,0.33,0.33,,기준연도
kakao tech,2026,18,7.0,0.0,6.67,13.67,,기준연도
